IDs
12ASA
12E8H
155CA
16PKA
16VPA
1A04A
1A05A
1A0CA
1A0JA
1A0TQ
1A12A
1A14L
1A17A
1A1XA
1A21A
1A2XB
1A2YA
1A2YB
1A2ZA
1A32A
1A3AA
1A3QA
1A3RH
1A41A
1A4EA
1A4FA
1A4IA
1A4JH
1A4SA
1A58A
1A59A
1A5TA
1A5ZA
1A62A
1A6JA
1A6YA
1A70A
1A73A
1A75B
1A76A
1A78A
1A79A
1A7GE
1A7JA
1A7SA
1A7TA
1A7WA
1A88A
1A8LA
1A8PA
1A8QA
1A8RA
1A8SA
1A92A
1A9NA
1A9NB
1A9XA
1A9XB
1AB8A
1ABAA
1ABII
1ABRB
1AC5A
1ACFA
1AD0B
1AE1A
1AE9A
1AF6B
1AF7A
1AFSA
1AFWA
1AG6A
1AG9A
1AGIA
1AGJA
1AGQA
1AH4A
1AH7A
1AHOA
1AHSA
1AIEA
1AIHA
1AILA
1AISA
1AISB
1AJ8A
1AJJA
1AK0A
1AK2A
1AKOA
1AKYA
1AL3A
1ALLA
1ALUA
1AM2A
1AM5A
1AM7A
1AM9D
1AMMA
1AMTA
1AMUA
1AN8A
1AOAA
1AOCA
1AOEA
1AOGA
1AOHA
1AOLA
1AORA
1AOZA
1APAA
1APXA
1APYA
1APYD
1AQ0B
1AQKH
1AQUA
1AQZA
1ARBA
1AS4B
1ASHA
1ASSA
1AT3A
1ATGA
1ATLB
1ATZA
1AU1A
1AU7A
1AUAA
1AUKA
1AUNA
1AUOA
1AVAA
1AVBA
1AVSA
1AVWB
1AW9A
1AWCA
1AWCB
1AWDA
1AX8A
1AXDA
1AXIB
1AXNA
1AY1H
1AYM1
1AYM2
1AYM3
1AYM4
1AYOB
1AZ5A
1AZOA
1AZSA
1AZZA
1B06A
1B0BA
1B0NA
1B0NB
1B0UA
1B0XA
1B0YA
1B12A
1B1UA
1B25A
1B2PA
1B33A
1B33N
1B35A
1B35B
1B35C
1B35D
1B3UA
1B43A
1B4BA
1B4FG
1B4PA
1B5EA
1B5FA
1B5FB
1B5LA
1B5PA
1B5QA
1B63A
1B65A
1B66A
1B67A
1B6GA
1B72A
1B74A
1B77A
1B78A
1B79B
1B7GO
1B7YA
1B7YB
1B8DA
1B8DB
1B8KA
1B8PA
1B8ZA
1B93A
1B9HA
1B9MB
1B9OA
1B9WA
1BAZA
1BB1A
1BB1B
1BB1C
1BB9A
1BBPA
1BC8C
1BCOA
1BD0A
1BD3D
1BD8A
1BDBA
1BDFA
1BDOA
1BDQA
1BEAA
1BECA
1BEHA
1BF2A
1BF6A
1BG1A
1BG2A
1BG4A
1BG6A
1BG7A
1BGCA
1BGEA
1BGFA
1BGPA
1BGVA
1BH6A
1BHDA
1BHEA
1BHPA
1BIAA
1BIFA
1BINA
1BJ1H
1BJAA
1BJFA
